deptime,avg_arrdelay
846,1.1914526968809236
848,1.1998480243161094
808,1.2039496679482697
833,1.2062432334897149
920,1.208845017876574
818,1.3204277286135693
903,1.3455278251433886
930,1.3505654281098547
842,1.3634833180287727
945,1.3645311837081036
803,1.4212978943734897
950,1.4554909507820817
1030,1.4594690265486725
719,1.4879910213243546
1026,1.5153076689906033
915,1.5370413648048609
841,1.5406917599186165
957,1.5693721286370597
940,1.5904707420725728
904,1.5909645909645909
1040,1.6026272577996716
1045,1.616708172968078
843,1.617028217256565
1056,1.6402116402116402
1000,1.6499580672214695
829,1.6739255014326648
1050,1.7070967741935483
1054,1.7122529644268776
1035,1.7255983703955187
1020,1.7371148077447505
952,1.7621393384940183
951,1.7794653705953827
906,1.8018596787827557
1053,1.8325284312198162
956,1.84
1125,1.8679991050786784
907,1.8974805894469973
1057,1.9275610801543077
1027,1.929449248975876
953,1.9384353741496598
1005,1.9777026409576899
1010,1.977955570686867
1225,1.980716253443526
1115,2.042746418225945
844,2.0986675126903553
1126,2.1004696171908352
912,2.1458646616541355
1015,2.1759229010127408
954,2.1904140854254974
1123,2.201134447340181
926,2.212278558338424
923,2.244913452778621
1120,2.2524010756819055
927,2.252943806826651
922,2.342485783915516
1155,2.42110029431741
1255,2.4445672191528547
928,2.4504375268971454
908,2.4513743771097896
1058,2.4606611808863867
917,2.460872517399423
1220,2.5245470032522843
939,2.5257663628831812
1226,2.5379241516966067
1042,2.537987679671458
1124,2.5472837022132797
921,2.553967980719573
1230,2.589417091114884
937,2.5943156826256133
1028,2.600777885817475
914,2.631159780985565
1250,2.67705947543406
1029,2.678154030566377
1043,2.715073827681324
1037,2.717199654278306
959,2.7296592206098156
958,2.7333637192342755
919,2.7443386937971774
909,2.7654001616814874
1051,2.7936478454680533
924,2.805652108206136
1024,2.842337917485265
1305,2.8594181187416225
929,2.8878359484231786
916,2.892072943803498
1325,2.9167103587746235
911,2.926063470627954
1227,2.951511849632253
1121,2.968671469257832
913,2.976683515408446
1257,2.994909190974133
1036,3.0109154929577464
1059,3.019601593625498
1106,3.0363827182088508
1130,3.057009009009009
1044,3.0602429688800132
1052,3.0713133268796384
1039,3.077487625874723
1127,3.0881081834657746
942,3.106709493219129
1154,3.107142857142857
1038,3.1115078720986853
1245,3.1404726620388423
1002,3.1470213153579887
1122,3.149046793760832
1112,3.1556433037183282
1235,3.161034761519806
1140,3.171356307303193
1023,3.2051783097215436
1228,3.2086656034024457
1111,3.2323268206039075
1041,3.2424034334763947
1153,3.256204838202953
941,3.268550557477893
1001,3.2947819314641746
918,3.304812834224599
1031,3.333395907640323
1128,3.3358128212063836
938,3.3599535115391
1006,3.3602233346168657
948,3.371555391159608
1215,3.3789129686962505
1145,3.405685777636997
1252,3.410079656862745
1310,3.416574585635359
1033,3.428701511564378
1210,3.4396382958888787
1022,3.4471288515406164
1116,3.470105723660226
1223,3.479002014566868
1135,3.493261709546697
1254,3.5107178823190908
1103,3.5312073669849933
1021,3.535455585207777
1240,3.54572247889119
1013,3.557818045955539
949,3.5806008246612997
1004,3.584348137535817
1012,3.5893497183819765
1256,3.595055659968194
1049,3.5978835978835977
1102,3.5980222068008327
1150,3.5987217724755007
1200,3.6039809863339274
1118,3.60550150956055
1205,3.609311549721409
1229,3.6137454134913916
1259,3.628157226124645
1300,3.638735996891796
1151,3.6523172742260486
944,3.6686746987951806
1224,3.6706662456583516
1108,3.6826749713161777
1011,3.685305591677503
936,3.685677842565598
1107,3.6884825700615176
1046,3.6969809223930357
1258,3.6976993044408775
1251,3.7004366812227074
1222,3.733441295546559
933,3.7544367283950617
1018,3.7688221285949806
1104,3.7719972067039107
1047,3.8134161062252114
1034,3.819935077334352
1152,3.8634722678043976
